hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc
128,0.0002,0.0001,0.5,2,0.5,1000,0.9919808033070924,0.002910022737126098,0.9563547257324178,0.957447306791569
512,0.0002,0.0001,0.3,2,0.75,400,0.9919541473028275,0.0034538718952583586,0.9585647549901957,0.9590966878554701
512,0.0002,0.0001,0.3,2,0.5,1000,0.9919522901222024,0.00257558771573583,0.9634230650526389,0.9639946470391434
128,0.0002,0.0001,0.5,2,0.5,700,0.9919454076292981,0.002653970506775372,0.9510591690988669,0.9525359652057543
128,0.0002,1e-05,0.5,2,0.75,1000,0.9919442059241877,0.0027040030323935253,0.9594825224053875,0.9607159585145535
128,0.0002,1e-05,0.5,2,0.75,700,0.9919022554912461,0.003357517402911246,0.9574800923777044,0.9590732686517232
256,0.0002,0.0001,0.3,2,0.5,400,0.9919017092616504,0.004093243023215693,0.962327943835762,0.963174974907996
512,0.0002,1e-05,0.3,2,0.75,1000,0.991857901648084,0.002792488338697918,0.9642140292435721,0.9648210103713616
512,0.0002,1e-05,0.5,1,0.75,700,0.991855170500106,0.0038933063353100766,0.960783334705868,0.9615356306457009
128,0.0002,0.0001,0.5,1,0.75,1000,0.9917851438659507,0.0038957996562239824,0.9564403992570618,0.9574506523921043
256,0.0002,1e-05,0.5,2,0.5,1000,0.9917587063535243,0.003192608777554021,0.9596192913998159,0.960722649715624
256,0.0002,0.0001,0.5,1,0.75,400,0.9917470170401785,0.002647148594163784,0.9554892169502326,0.9566309802609568
256,0.0002,0.0001,0.3,1,0.5,400,0.9916787383407293,0.003731253146167962,0.9622517031431436,0.9631850117096018
128,0.0002,1e-05,0.3,1,0.75,400,0.9916530655497364,0.0027360878933777384,0.9587204630833238,0.959909668785547
256,0.0002,1e-05,0.5,2,0.75,1000,0.9916501159099201,0.004189408759282955,0.9600622406639004,0.960712612914018
128,0.0002,0.0001,0.3,2,0.5,400,0.9916330735465376,0.004109052926142942,0.9553705838477328,0.9566175978588156
256,0.0002,1e-05,0.5,1,0.75,1000,0.9916208380035962,0.004370748067460339,0.9612782461593475,0.9623553027768483
256,0.0002,0.0001,0.5,2,0.75,700,0.9916196362984862,0.004491145128532046,0.9566148945356863,0.9574406155904984
512,0.0002,0.0001,0.5,1,0.75,700,0.991617669871942,0.0029054589070528903,0.9573521481741984,0.9582703245232519
128,0.0002,0.0001,0.3,2,0.75,700,0.9915977871146623,0.0036460435966385865,0.957235453591154,0.9582770157243224
