hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc,mean_thr
512,0.0002,0.0001,0.5,2,0.75,1000,0.9995312500000001,0.0009374999999999911,0.9987421383647799,0.99875,0.980339914560318
512,0.0002,0.0001,0.5,2,0.5,1000,0.9995312500000001,0.0009374999999999911,0.9987421383647799,0.99875,0.6043828129768372
512,0.001,0.0001,0.3,1,0.5,700,0.9995312500000001,0.0009374999999999911,0.9987421383647799,0.99875,0.27272346019744875
256,0.001,1e-05,0.5,1,0.75,1000,0.9995312500000001,0.0009374999999999911,0.9987421383647799,0.99875,0.5031550407409668
512,0.0002,1e-05,0.3,2,0.5,700,0.9995312500000001,0.0009374999999999911,0.9987421383647799,0.99875,0.12501533031463624
512,0.0002,1e-05,0.3,1,0.5,400,0.9995003858024691,0.0009240029543089724,0.9974999023399352,0.9975077639751554,0.6070527911186219
512,0.0002,1e-05,0.3,2,0.75,400,0.9995,0.0009999999999999788,0.9987421383647799,0.99875,0.49282051920890807
512,0.0002,0.0001,0.5,1,0.5,400,0.999471450617284,0.0006650590040668691,0.9975151444997492,0.9975077639751554,1.1928731381893158
512,0.0002,0.0001,0.5,1,0.5,700,0.9994699074074074,0.000847879728672387,0.9975151444997492,0.9975077639751554,2.468145227432251
512,0.0002,1e-05,0.5,2,0.75,400,0.9994691358024692,0.000986380351196234,0.9974999023399352,0.9975077639751554,1.0338914781808852
512,0.0002,0.0001,0.3,2,0.75,700,0.9994691358024692,0.000986380351196234,0.9974999023399352,0.9975077639751554,0.47316293716430663
128,0.0002,1e-05,0.3,2,0.75,400,0.9994687499999999,0.0010625000000000107,0.9987421383647799,0.99875,0.8097104847431182
512,0.0002,1e-05,0.5,1,0.75,400,0.9994390432098765,0.000847683092170847,0.9975151444997492,0.9975077639751554,1.5603809356689453
512,0.0002,0.0001,0.3,1,0.5,400,0.9994378858024691,0.0010487723465463761,0.9974999023399352,0.9975077639751554,1.4853625893592834
512,0.001,0.0001,0.3,1,0.75,1000,0.9994375,0.0011249999999999982,0.9987421383647799,0.99875,0.5229321479797363
512,0.0002,1e-05,0.5,2,0.75,1000,0.9994375,0.0011249999999999982,0.9987421383647799,0.99875,0.5395606487989426
512,0.0002,0.0001,0.3,2,0.5,1000,0.9994375,0.0011249999999999982,0.9987421383647799,0.99875,0.021819424629211426
512,0.0002,0.0001,0.3,1,0.5,700,0.999409336419753,0.0007394379135678903,0.9975151444997492,0.9975077639751554,0.6985547602176666
512,0.0002,0.0001,0.5,1,0.75,400,0.9994085648148149,0.0008042807335037164,0.9975151444997492,0.9975077639751554,1.1764705896377563
512,0.0002,1e-05,0.3,1,0.5,700,0.9994066358024691,0.001111176481273199,0.9974999023399352,0.9975077639751554,1.3044372245669364
512,0.001,1e-05,0.5,1,0.75,1000,0.9994066358024691,0.001111176481273199,0.9974999023399352,0.9975077639751554,0.3538867712020874
512,0.001,0.0001,0.3,1,0.5,1000,0.99940625,0.0011875000000000301,0.9987421383647799,0.99875,-0.4849635899066925
512,0.0002,1e-05,0.5,1,0.75,1000,0.9993784722222221,0.0007683267554149174,0.9975151444997492,0.9975077639751554,2.180229830741882
512,0.0002,1e-05,0.5,2,0.5,1000,0.999375,0.0012500000000000178,0.9987421383647799,0.99875,0.6636440634727478
512,0.0002,1e-05,0.5,2,0.75,700,0.999346450617284,0.0008736653439454956,0.9975151444997492,0.9975077639751554,1.0131226420402526
512,0.0002,1e-05,0.3,1,0.75,400,0.9993452932098765,0.001028931351745197,0.9975151444997492,0.9975077639751554,0.496219277381897
128,0.0002,1e-05,0.5,2,0.75,700,0.9993449074074074,0.0010935044060932752,0.9975151444997492,0.9975077639751554,1.5210588693618774
512,0.0002,1e-05,0.3,2,0.5,400,0.9993441358024692,0.0012360138137753073,0.9974999023399352,0.9975077639751554,0.38290156722068786
512,0.0002,1e-05,0.3,1,0.75,700,0.9993175154320987,0.0008571280648019269,0.9975151444997492,0.9975077639751554,0.9735101476311684
512,0.0002,0.0001,0.5,1,0.75,1000,0.9993163580246914,0.0008438352885535401,0.9975151444997492,0.9975077639751554,1.979342484474182
512,0.001,0.0001,0.3,1,0.75,400,0.9993136574074075,0.0011552039210063491,0.9975151444997492,0.9975077639751554,-2.137776267528534
256,0.001,1e-05,0.3,1,0.5,1000,0.9993132716049382,0.0012249820754608957,0.9975151444997492,0.9975077639751554,-0.7313820123672485
512,0.0002,0.0001,0.5,1,0.75,700,0.9992854938271606,0.0008768854748226142,0.9975151444997492,0.9975077639751554,2.101895236968994
512,0.0002,1e-05,0.5,1,0.5,700,0.9992851080246915,0.0008890579962811059,0.9975151444997492,0.9975077639751554,3.064459502696991
512,0.0002,1e-05,0.5,1,0.75,700,0.9992839506172839,0.0009852207673267208,0.9975151444997492,0.9975077639751554,2.141413116455078
512,0.001,0.0001,0.3,1,0.75,700,0.999281635802469,0.0013608810099167237,0.9974999023399352,0.9975077639751554,0.24239857196807862
256,0.001,0.0001,0.5,2,0.75,400,0.9992812499999999,0.001437500000000025,0.9987421383647799,0.99875,-1.4786169230937958
512,0.0002,0.0001,0.3,1,0.75,400,0.999253086419753,0.0009984746787948314,0.9975151444997492,0.9975077639751554,0.8306174248456955
512,0.0002,0.0001,0.3,2,0.75,1000,0.99925,0.0015000000000000124,0.9987421383647799,0.99875,0.07269667387008667
256,0.001,1e-05,0.3,1,0.75,400,0.9991902006172839,0.0011577162653745076,0.9975151444997492,0.9975077639751554,1.8235454916954041
256,0.001,1e-05,0.5,1,0.75,700,0.9991875,0.0016249999999999431,0.9987421383647799,0.99875,2.4410194754600525
512,0.0002,1e-05,0.3,1,0.75,1000,0.9991612654320988,0.0010288350047514684,0.9975151444997492,0.9975077639751554,1.126138484477997
256,0.001,0.0001,0.3,1,0.75,1000,0.9991577932098765,0.001396389426452361,0.9975151444997492,0.9975077639751554,1.699424147605896
