hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_val_AUC,std_val_AUC
128,0.0002,1e-05,0.3,2.0,0.75,1000,0.8864470457079154,0.024605444994481314
256,0.0002,1e-05,0.3,1.0,0.75,400,0.8864002229654403,0.018116064282239105
256,0.001,1e-05,0.5,1.0,0.75,400,0.886247491638796,0.022028105193663557
512,0.001,0.0001,0.5,1.0,0.75,400,0.8861538461538462,0.012499777964717438
256,0.001,0.0001,0.3,1.0,0.5,400,0.8861248606465997,0.022591070719450147
256,0.001,1e-05,0.5,2.0,0.75,1000,0.8860401337792643,0.03593483731935187
256,0.001,0.0001,0.5,1.0,0.75,700,0.8860189520624303,0.02972398446961802
512,0.001,0.0001,0.3,2.0,0.75,700,0.8859710144927536,0.022478128862534554
128,0.0002,0.0001,0.5,1.0,0.5,400,0.8859464882943145,0.04089519416267146
256,0.001,0.0001,0.5,2.0,0.75,400,0.885921962095875,0.006119439342981688
256,0.001,0.0001,0.5,1.0,0.75,1000,0.8858439241917502,0.03110754374361629
512,0.001,1e-05,0.3,1.0,0.5,700,0.8857346711259755,0.02802318041740142
256,0.001,0.0001,0.5,1.0,0.5,700,0.885670011148272,0.027244374564932956
128,0.0002,1e-05,0.3,1.0,0.5,1000,0.8856020066889633,0.016131216776141082
128,0.0002,1e-05,0.5,1.0,0.75,1000,0.8855473801560759,0.028524471555013853
128,0.0002,0.0001,0.3,2.0,0.75,700,0.8855429208472687,0.028916948032831725
256,0.0002,0.0001,0.5,1.0,0.5,700,0.8854492753623189,0.031127929873828328
128,0.0002,0.0001,0.3,1.0,0.5,700,0.8853322185061316,0.017520600894399822
256,0.0002,1e-05,0.5,1.0,0.75,400,0.8852853957636565,0.01767412617505941
128,0.0002,1e-05,0.5,2.0,0.5,700,0.8851794871794872,0.01430261231427984
512,0.0002,0.0001,0.5,2.0,0.5,700,0.8850501672240803,0.01391144260864036
128,0.0002,0.0001,0.3,1.0,0.5,1000,0.8850457079152731,0.03179999645986085
256,0.0002,0.0001,0.5,1.0,0.75,1000,0.884927536231884,0.02133941065287771
128,0.001,0.0001,0.5,1.0,0.5,700,0.884927536231884,0.03005573557092658
128,0.001,0.0001,0.3,2.0,0.5,400,0.884536231884058,0.0279527835038665
256,0.0002,0.0001,0.5,1.0,0.5,400,0.884473801560758,0.017519679412754736
512,0.0002,1e-05,0.3,1.0,0.75,1000,0.8843377926421405,0.02270941768692592
128,0.0002,1e-05,0.3,1.0,0.75,700,0.8842842809364548,0.017380503463648046
256,0.0002,0.0001,0.5,2.0,0.5,1000,0.8842263099219622,0.02378864677247167
256,0.001,1e-05,0.5,1.0,0.75,700,0.8841482720178373,0.02572604208353189
128,0.001,1e-05,0.5,1.0,0.75,1000,0.8837826086956522,0.021884398606853286
128,0.001,0.0001,0.5,1.0,0.5,1000,0.8837402452619842,0.03019788560957153
128,0.0002,1e-05,0.5,1.0,0.75,700,0.8837190635451504,0.02614427651505609
256,0.001,0.0001,0.3,2.0,0.75,400,0.883607580824972,0.018382569392833226
256,0.0002,0.0001,0.5,2.0,0.5,700,0.883510590858417,0.026500927511511434
256,0.001,1e-05,0.5,2.0,0.75,700,0.8834782608695653,0.03320615870718144
512,0.0002,1e-05,0.3,1.0,0.75,700,0.8834370122630993,0.022301474817108667
128,0.001,1e-05,0.3,2.0,0.75,400,0.8833076923076923,0.013167544762622633
512,0.0002,0.0001,0.3,1.0,0.75,700,0.883258639910814,0.027638804350522843
256,0.001,1e-05,0.3,2.0,0.5,700,0.8832497212931993,0.029222735588477638
512,0.0002,1e-05,0.3,2.0,0.5,1000,0.8832051282051283,0.02163973618882857
128,0.001,0.0001,0.5,1.0,0.75,700,0.8830245261984391,0.023634859799431383
512,0.0002,0.0001,0.5,1.0,0.5,700,0.8830200668896321,0.01645349911224567
128,0.001,0.0001,0.3,2.0,0.75,700,0.8828874024526199,0.02502453267970316
128,0.001,1e-05,0.3,1.0,0.75,700,0.8828651059085841,0.021904571002595765
