Seed,Epoch,Loss,Train_AUC,Train_F1,Train_Acc,Val_AUC,Val_F1,Val_Acc,Test_AUC,Test_F1,Test_Acc
84,170,0.00274,1.0,1.0,1.0,0.8528,0.7692,0.7551,0.8591,0.7544,0.7333
84,175,0.000251,1.0,1.0,1.0,0.8528,0.7692,0.7551,0.854,0.7458,0.7143
84,180,0.000658,1.0,1.0,1.0,0.8495,0.7692,0.7551,0.854,0.7521,0.7238
84,185,0.000817,1.0,1.0,1.0,0.8495,0.8077,0.7959,0.8558,0.7521,0.7238
84,190,0.000477,1.0,1.0,1.0,0.8545,0.7843,0.7755,0.8635,0.7652,0.7429
84,195,0.000115,1.0,1.0,1.0,0.8528,0.7843,0.7755,0.8696,0.7759,0.7524
84,200,0.000108,1.0,1.0,1.0,0.8595,0.8,0.7959,0.87,0.7652,0.7429
84,205,0.000159,1.0,1.0,1.0,0.8562,0.7843,0.7755,0.87,0.7818,0.7714
84,210,0.000149,1.0,1.0,1.0,0.8562,0.7843,0.7755,0.866,0.7636,0.7524
84,215,5.3e-05,1.0,1.0,1.0,0.8662,0.76,0.7551,0.8693,0.7719,0.7524
84,220,7.5e-05,1.0,1.0,1.0,0.8679,0.76,0.7551,0.8678,0.7679,0.7524
84,225,3.1e-05,1.0,1.0,1.0,0.8696,0.76,0.7551,0.8656,0.7611,0.7429
84,230,3.7e-05,1.0,1.0,1.0,0.8662,0.7451,0.7347,0.8613,0.7207,0.7048
84,235,6.6e-05,1.0,1.0,1.0,0.8612,0.7451,0.7347,0.8584,0.7207,0.7048
84,240,8.4e-05,1.0,1.0,1.0,0.8595,0.7692,0.7551,0.858,0.7568,0.7429
84,245,6.1e-05,1.0,1.0,1.0,0.8562,0.7843,0.7755,0.8646,0.7679,0.7524
84,250,3.6e-05,1.0,1.0,1.0,0.8562,0.76,0.7551,0.8693,0.7679,0.7524
84,255,1.5e-05,1.0,1.0,1.0,0.8545,0.76,0.7551,0.87,0.7895,0.7714
84,260,9e-06,1.0,1.0,1.0,0.8528,0.76,0.7551,0.8751,0.7895,0.7714
84,265,2.2e-05,1.0,1.0,1.0,0.8528,0.7692,0.7551,0.874,0.7895,0.7714
84,270,0.00014,1.0,1.0,1.0,0.8545,0.7692,0.7551,0.8769,0.7826,0.7619
84,275,9e-06,1.0,1.0,1.0,0.8495,0.7692,0.7551,0.8784,0.7895,0.7714
84,280,9e-06,1.0,1.0,1.0,0.8512,0.7692,0.7551,0.8787,0.7748,0.7619
84,285,5e-06,1.0,1.0,1.0,0.8495,0.7692,0.7551,0.8747,0.8036,0.7905
84,290,2.4e-05,1.0,1.0,1.0,0.8462,0.7692,0.7551,0.8653,0.7611,0.7429
84,295,2e-05,1.0,1.0,1.0,0.8478,0.7692,0.7551,0.8555,0.7156,0.7048
84,300,1e-05,1.0,1.0,1.0,0.8528,0.7843,0.7755,0.8609,0.7611,0.7429
84,305,4e-06,1.0,1.0,1.0,0.8562,0.7843,0.7755,0.8638,0.7679,0.7524
84,310,7e-06,1.0,1.0,1.0,0.8595,0.7843,0.7755,0.8671,0.7788,0.7619
84,315,4e-06,1.0,1.0,1.0,0.8579,0.7843,0.7755,0.8631,0.7788,0.7619
84,320,5e-06,1.0,1.0,1.0,0.8495,0.7843,0.7755,0.858,0.7544,0.7333
84,325,1.3e-05,1.0,1.0,1.0,0.8445,0.7843,0.7755,0.8569,0.7544,0.7333
84,330,4e-06,1.0,1.0,1.0,0.8478,0.7692,0.7551,0.8544,0.7544,0.7333
84,335,4e-06,1.0,1.0,1.0,0.8545,0.7692,0.7551,0.8519,0.7478,0.7238
84,340,3e-06,1.0,1.0,1.0,0.8495,0.7692,0.7551,0.8511,0.7478,0.7238
84,345,1.4e-05,1.0,1.0,1.0,0.8545,0.7692,0.7551,0.8497,0.7478,0.7238
84,350,1e-06,1.0,1.0,1.0,0.8545,0.7843,0.7755,0.85,0.7478,0.7238
84,355,1e-06,1.0,1.0,1.0,0.8579,0.7843,0.7755,0.8471,0.7586,0.7333
84,360,1e-06,1.0,1.0,1.0,0.8612,0.7843,0.7755,0.8486,0.7544,0.7333
84,365,1e-06,1.0,1.0,1.0,0.8612,0.7843,0.7755,0.8558,0.75,0.7333
84,370,1e-06,1.0,1.0,1.0,0.8612,0.8,0.7959,0.8642,0.7679,0.7524
84,375,1e-06,1.0,1.0,1.0,0.8595,0.8,0.7959,0.8682,0.7748,0.7619
84,380,2e-06,1.0,1.0,1.0,0.8612,0.76,0.7551,0.8689,0.7965,0.781
84,385,1e-06,1.0,1.0,1.0,0.8579,0.76,0.7551,0.8686,0.7895,0.7714
84,390,1e-06,1.0,1.0,1.0,0.8562,0.76,0.7551,0.8667,0.7895,0.7714
84,395,1e-06,1.0,1.0,1.0,0.8545,0.76,0.7551,0.8649,0.7895,0.7714
84,400,1e-06,1.0,1.0,1.0,0.8528,0.7843,0.7755,0.8606,0.7931,0.7714
84,405,2e-06,1.0,1.0,1.0,0.8545,0.7843,0.7755,0.8548,0.7863,0.7619
84,410,0.0,1.0,1.0,1.0,0.8562,0.7843,0.7755,0.8522,0.7797,0.7524
84,415,0.0,1.0,1.0,1.0,0.8562,0.7843,0.7755,0.85,0.7692,0.7429
84,420,1e-06,1.0,1.0,1.0,0.8562,0.7843,0.7755,0.8515,0.7652,0.7429
84,425,0.0,1.0,1.0,1.0,0.8562,0.76,0.7551,0.8529,0.7544,0.7333
64,5,0.261235,0.8375,0.625,0.6923,0.6488,0.4737,0.5918,0.7803,0.5783,0.6667
64,10,0.247823,0.8713,0.8103,0.8103,0.6522,0.5714,0.5714,0.8105,0.7379,0.7429
64,15,0.206219,0.8893,0.8342,0.8308,0.6572,0.5882,0.5714,0.8214,0.7664,0.7619
