hidden_channels,lr,weight_decay,dropout,focal_gamma,focal_alpha,epochs,mean_auc,std_auc,mean_f1,mean_acc
256,0.001,0.0001,0.4,0.5,0.75,200,0.6911170528817587,0.0675002562686922,0.6856048860700025,0.5902116402116403
128,0.0002,0.001,0.4,1.0,0.75,200,0.6910873440285206,0.10111776443928448,0.7340730113183485,0.6119047619047618
64,0.001,0.0001,0.4,0.5,0.5,600,0.6906833036244799,0.07944796080119387,0.7239718563333037,0.6542328042328043
128,0.0002,0.001,0.6,0.5,0.5,600,0.6902852049910873,0.1186752723719599,0.761015514089326,0.625925925925926
256,0.0002,0.001,0.4,1.0,0.75,600,0.6899108734402851,0.09814964450052702,0.7502168295697113,0.6333333333333333
256,0.0002,0.0001,0.4,0.5,0.75,600,0.6896256684491979,0.10939958426927894,0.7417676767676766,0.6330687830687831
256,0.001,0.001,0.4,1.0,0.75,200,0.689126559714795,0.0463347031800428,0.7385246789895745,0.6693121693121693
256,0.001,0.001,0.4,0.5,0.5,400,0.6890017825311943,0.06414976867907221,0.6496048014631464,0.6195767195767197
128,0.001,0.0001,0.4,1.0,0.75,600,0.6880035650623887,0.050343604108023736,0.6872072072072072,0.6042328042328042
64,0.001,0.001,0.6,0.5,0.5,600,0.6879084967320261,0.09360655747592568,0.7776744186046513,0.669047619047619
128,0.001,0.001,0.4,0.5,0.75,600,0.687807486631016,0.06755464931657135,0.701780185758514,0.6187830687830689
256,0.001,0.0001,0.4,0.5,0.5,200,0.6877480689245395,0.0929734308670145,0.7273822236751298,0.6187830687830689
128,0.001,0.0001,0.6,1.0,0.75,400,0.6875757575757575,0.06511856535039166,0.7881801823907086,0.683068783068783
256,0.0002,0.001,0.4,0.5,0.5,200,0.6874509803921569,0.08610047117890518,0.637789298515105,0.5825396825396826
128,0.001,0.001,0.6,0.5,0.75,400,0.687344028520499,0.09049719697847015,0.7872271914132379,0.6907407407407407
256,0.0002,0.0001,0.4,0.5,0.5,200,0.6870291146761736,0.08869871481346954,0.7798425152083688,0.6759259259259259
256,0.001,0.0001,0.4,1.0,0.5,400,0.6869281045751634,0.03895028940123186,0.6837301587301587,0.6187830687830689
256,0.0002,0.0001,0.6,1.0,0.5,600,0.6868805704099821,0.12790158058015205,0.7937304112171557,0.6833333333333333
128,0.001,0.001,0.6,1.0,0.5,600,0.6864171122994652,0.10529062766654249,0.7581190281190281,0.6330687830687831
64,0.001,0.0001,0.4,1.0,0.75,400,0.6863458110516933,0.10979145471741834,0.7554477521919383,0.625925925925926
256,0.001,0.001,0.4,1.0,0.5,600,0.6862863933452168,0.05328824790585546,0.7135265541073162,0.6399470899470899
128,0.001,0.0001,0.6,0.5,0.5,600,0.6862804515745692,0.09430591941068364,0.763978374406771,0.6407407407407407
128,0.0002,0.0001,0.4,1.0,0.75,600,0.6861853832442067,0.09230104189632772,0.7684674510761468,0.6687830687830687
256,0.001,0.0001,0.4,0.5,0.75,400,0.6857872846108141,0.026228308263004135,0.7359115576267425,0.6613756613756614
128,0.001,0.0001,0.6,0.5,0.5,400,0.6847534165181222,0.11740987873393054,0.7777137497342101,0.6687830687830687
256,0.001,0.0001,0.4,1.0,0.5,200,0.6845632798573975,0.04554380805851217,0.7492375323335076,0.6687830687830688
64,0.001,0.001,0.4,0.5,0.75,400,0.68349376114082,0.046661968391490796,0.7741639935168753,0.6473544973544973
256,0.001,0.001,0.6,1.0,0.5,600,0.6831372549019606,0.08234218355399793,0.7218253968253968,0.6330687830687831
64,0.001,0.0001,0.4,0.5,0.5,400,0.6830956625074271,0.08042136855484132,0.7595379448811099,0.6256613756613756
256,0.001,0.0001,0.6,1.0,0.5,400,0.6830540701128937,0.05534289578073308,0.7162724014336919,0.6407407407407407
128,0.001,0.0001,0.6,1.0,0.75,600,0.6828342245989305,0.11004620005778895,0.7982927103285189,0.6904761904761905
64,0.0002,0.0001,0.4,1.0,0.5,400,0.682566844919786,0.09909632002680575,0.7657735247208931,0.6335978835978835
256,0.001,0.001,0.4,1.0,0.5,200,0.6819726678550208,0.06356552337679104,0.7552646320088181,0.6402116402116402
64,0.001,0.0001,0.6,1.0,0.5,600,0.6819370172311349,0.07978323240281188,0.7550626118067979,0.619047619047619
256,0.0002,0.0001,0.6,0.5,0.5,200,0.6816458704694,0.08467738740337566,0.797671698626411,0.6976190476190476
64,0.001,0.001,0.4,0.5,0.5,200,0.6815805109922757,0.08102327084999711,0.7226744594186455,0.6044973544973545
128,0.001,0.0001,0.6,1.0,0.5,200,0.6812715389185977,0.08059596430713095,0.7791477528319634,0.691005291005291
256,0.0002,0.0001,0.4,1.0,0.75,200,0.6810398098633392,0.06806078316296622,0.771279597595387,0.6759259259259259
128,0.0002,0.0001,0.6,0.5,0.5,200,0.6802673796791445,0.1413149944280665,0.7813688907217725,0.6695767195767196
128,0.001,0.0001,0.4,1.0,0.5,200,0.679964349376114,0.04946086923241722,0.765536198219125,0.6473544973544973
128,0.001,0.0001,0.6,0.5,0.5,200,0.6794117647058824,0.08598059125245082,0.7860244586331543,0.6687830687830688
64,0.0002,0.0001,0.4,0.5,0.5,200,0.6790849673202615,0.1046687449266577,0.7838267965097232,0.6695767195767195
128,0.0002,0.001,0.6,1.0,0.75,400,0.6790136660724896,0.12781111020342154,0.748512006050293,0.6042328042328042
128,0.001,0.0001,0.4,0.5,0.75,400,0.6788235294117646,0.07395441586823577,0.7185151707256408,0.6333333333333333
64,0.001,0.001,0.6,0.5,0.75,400,0.6786096256684492,0.10760442636803615,0.7795815295815296,0.6555555555555556
256,0.0002,0.0001,0.6,1.0,0.75,600,0.6785026737967914,0.09858758323129874,0.766928193757462,0.6544973544973545
64,0.0002,0.001,0.4,0.5,0.75,600,0.6784313725490196,0.06256039497303441,0.7798936615158963,0.6544973544973545
256,0.0002,0.0001,0.4,0.5,0.5,400,0.6783541295306003,0.05352784698982469,0.768867798867799,0.6687830687830687
128,0.0002,0.001,0.4,1.0,0.75,400,0.6779857397504456,0.11622439657001096,0.7390643274853801,0.5973544973544973
128,0.001,0.001,0.4,1.0,0.5,400,0.6778906714200832,0.07986150977584937,0.7700705069639601,0.6753968253968253
256,0.0002,0.001,0.6,0.5,0.75,200,0.6776470588235295,0.08774643379582202,0.7725806325806326,0.6544973544973545
64,0.001,0.001,0.4,1.0,0.5,200,0.6774390968508616,0.08048543553610446,0.7374694311536416,0.6116402116402118
64,0.0002,0.001,0.6,0.5,0.5,200,0.6772964943553179,0.09297893068835293,0.7567676767676768,0.6116402116402118
64,0.001,0.0001,0.4,1.0,0.5,400,0.6772251931075461,0.07013196413252719,0.7653415302195791,0.6547619047619048
64,0.001,0.0001,0.4,1.0,0.75,600,0.6771598336304219,0.07963199593301849,0.7424819624819625,0.625925925925926
128,0.0002,0.0001,0.4,0.5,0.75,600,0.6766310160427806,0.05212233381139858,0.7695376121463078,0.6544973544973545
128,0.001,0.001,0.4,0.5,0.75,400,0.6765775401069518,0.1276641623601196,0.7191088758823085,0.625925925925926
64,0.001,0.001,0.4,1.0,0.75,400,0.6762804515745693,0.05349012025519583,0.776698155645524,0.6764550264550265
256,0.0002,0.001,0.6,0.5,0.5,200,0.6759417706476529,0.08900119604766085,0.7692644486173303,0.6333333333333333
256,0.0002,0.001,0.6,1.0,0.75,200,0.6757813428401663,0.08940487817804825,0.74933950589123,0.6544973544973545
256,0.0002,0.0001,0.6,1.0,0.5,400,0.6756506238859179,0.12434361137269613,0.7754003843762174,0.6544973544973545
128,0.0002,0.0001,0.4,0.5,0.5,200,0.6755852644087939,0.07783615317277572,0.7620308346624135,0.6402116402116402
128,0.0002,0.001,0.4,1.0,0.5,600,0.6746345811051693,0.062470371661905354,0.7249483204134367,0.6264550264550264
64,0.001,0.0001,0.4,0.5,0.5,200,0.6744147355912062,0.06172863860676569,0.7368719568719568,0.6402116402116402
